time, bits
1000, 8
2000, 8
3000, 8
4000, 8
5000, 8
6000, 8
7000, 8
8000, 8
9000, 8
10000, 8
11000, 8
12000, 8
13000, 8
14000, 8
15000, 8
16000, 8
17000, 8
18000, 8
19000, 8
20000, 8
21000, 8
22000, 8
23000, 8
24000, 8
25000, 8
26000, 8
27000, 8
28000, 8
29000, 8
30000, 8
31000, 8
32000, 8
33000, 8
34000, 8
35000, 8
36000, 8
38000, 8
39000, 8
40000, 8
41000, 8
42000, 8
43000, 8
44000, 8
45000, 8
46000, 16
47000, 16
48000, 16
49000, 16
50000, 16
51000, 16
52000, 16
53000, 16
54000, 16
55000, 16
56000, 16
57000, 16
58000, 16
59000, 16
60000, 16
61000, 16
62000, 16
63000, 16
64000, 16
65000, 16
66000, 16
67000, 16
68000, 16
69000, 16
70000, 8
71000, 16
72000, 16
73000, 16
74000, 16
75000, 16
76000, 16
77000, 16
78000, 16
79000, 16
80000, 16
81000, 16
82000, 8
83000, 16
84000, 16
85000, 16
86000, 16
87000, 16
88000, 16
89000, 16
90000, 16
91000, 16
92000, 16
93000, 16
94000, 16
95000, 16
96000, 16
97000, 16
98000, 16
99000, 16
100000, 16
101000, 16
102000, 16
103000, 8
104000, 16
105000, 16
106000, 16
107000, 16
108000, 16
109000, 16
110000, 16
111000, 16
112000, 16
113000, 16
114000, 16
115000, 8
116000, 16
117000, 16
118000, 16
119000, 16
120000, 16
121000, 16
122000, 16
123000, 16
124000, 16
125000, 16
126000, 16
127000, 16
128000, 16
129000, 16
130000, 16
131000, 16
132000, 16
133000, 16
134000, 16
135000, 16
136000, 8
137000, 16
138000, 16
139000, 16
140000, 16
141000, 16
142000, 16
143000, 16
144000, 16
145000, 16
146000, 16
147000, 16
148000, 8
149000, 16
150000, 16
151000, 16
152000, 16
153000, 16
154000, 16
155000, 16
156000, 16
157000, 16
158000, 16
159000, 16
160000, 24
161000, 24
162000, 24
163000, 24
164000, 24
165000, 24
166000, 24
167000, 24
168000, 24
169000, 16
170000, 24
171000, 24
172000, 24
173000, 24
174000, 24
175000, 24
176000, 24
177000, 24
178000, 24
179000, 24
180000, 24
181000, 16
182000, 24
183000, 24
184000, 24
185000, 24
186000, 24
187000, 24
188000, 24
189000, 24
190000, 24
191000, 24
192000, 24
193000, 24
194000, 24
195000, 24
196000, 16
197000, 24
198000, 24
199000, 24
200000, 24
201000, 24
202000, 16
203000, 24
204000, 24
205000, 32
206000, 32
207000, 32
208000, 32
209000, 32
210000, 32
211000, 32
212000, 32
213000, 32
214000, 24
215000, 32
216000, 32
217000, 32
218000, 24
219000, 32
220000, 24
221000, 32
222000, 16
223000, 32
224000, 16
225000, 32
226000, 16
227000, 32
228000, 16
229000, 32
230000, 16
231000, 32
232000, 16
233000, 24
234000, 16
235000, 16
236000, 16
237000, 24
238000, 16
239000, 24
240000, 16
241000, 24
242000, 16
243000, 24
244000, 24
245000, 24
246000, 24
247000, 16
248000, 24
249000, 24
250000, 24
251000, 24
252000, 16
253000, 24
254000, 24
255000, 24
256000, 24
257000, 24
258000, 24
259000, 32
260000, 32
261000, 32
262000, 32
263000, 32
264000, 32
265000, 32
266000, 32
267000, 32
268000, 24
269000, 32
270000, 32
271000, 32
272000, 32
273000, 32
274000, 32
275000, 32
276000, 32
277000, 32
278000, 32
279000, 32
280000, 24
281000, 24
282000, 24
283000, 24
284000, 24
285000, 24
286000, 24
287000, 24
288000, 24
289000, 24
290000, 24
291000, 24
292000, 24
293000, 24
294000, 24
295000, 16
296000, 24
297000, 32
298000, 32
299000, 32
300000, 32
301000, 24
302000, 16
303000, 32
304000, 24
305000, 40
306000, 24
307000, 40
308000, 24
309000, 40
310000, 24
311000, 40
312000, 24
313000, 32
314000, 24
315000, 40
316000, 24
317000, 32
318000, 32
319000, 32
320000, 32
321000, 24
322000, 32
323000, 24
324000, 32
325000, 16
326000, 40
327000, 16
328000, 40
329000, 16
330000, 32
331000, 16
332000, 16
333000, 24
334000, 16
335000, 24
336000, 32
337000, 24
338000, 24
339000, 16
340000, 32
341000, 16
342000, 40
343000, 16
344000, 32
345000, 16
346000, 8
347000, 24
348000, 24
349000, 24
350000, 32
351000, 24
352000, 16
353000, 16
354000, 24
355000, 16
356000, 32
357000, 16
358000, 32
359000, 24
360000, 24
361000, 32
362000, 24
363000, 40
364000, 24
365000, 32
366000, 24
367000, 16
368000, 32
369000, 24
370000, 40
371000, 24
372000, 32
373000, 40
374000, 32
375000, 40
376000, 40
377000, 40
378000, 40
379000, 32
380000, 40
381000, 40
382000, 40
383000, 32
384000, 40
385000, 40
386000, 40
387000, 40
388000, 40
389000, 40
390000, 40
391000, 40
392000, 40
393000, 40
394000, 32
395000, 40
396000, 32
397000, 40
398000, 24
399000, 40
400000, 16
401000, 40
402000, 24
403000, 40
404000, 16
405000, 40
406000, 24
407000, 40
408000, 24
409000, 40
410000, 24
411000, 40
412000, 16
413000, 40
414000, 24
415000, 40
416000, 24
417000, 40
418000, 24
419000, 40
420000, 24
421000, 40
422000, 24
423000, 40
424000, 24
425000, 40
426000, 24
427000, 40
428000, 24
429000, 40
430000, 24
431000, 40
432000, 24
433000, 32
434000, 24
435000, 40
436000, 24
437000, 32
438000, 24
439000, 40
440000, 24
441000, 40
442000, 24
443000, 40
444000, 24
445000, 32
446000, 24
447000, 40
448000, 24
449000, 40
450000, 24
451000, 32
452000, 24
453000, 32
454000, 24
455000, 32
456000, 24
457000, 40
458000, 32
459000, 40
460000, 32
461000, 40
462000, 40
463000, 40
464000, 40
465000, 40
466000, 32
467000, 40
468000, 40
469000, 40
470000, 32
471000, 40
472000, 40
473000, 40
474000, 40
475000, 40
476000, 40
477000, 40
478000, 32
479000, 40
480000, 32
481000, 40
482000, 40
483000, 40
484000, 40
485000, 40
486000, 40
487000, 40
488000, 40
489000, 40
490000, 40
491000, 40
492000, 40
493000, 32
494000, 40
495000, 32
496000, 40
497000, 24
498000, 40
499000, 16
500000, 40
501000, 24
502000, 40
503000, 16
504000, 40
505000, 24
506000, 40
507000, 24
508000, 40
509000, 24
510000, 40
511000, 16
512000, 40
513000, 24
514000, 40
515000, 24
516000, 40
517000, 24
518000, 40
519000, 24
520000, 40
521000, 24
522000, 40
523000, 24
524000, 40
525000, 24
526000, 40
527000, 24
528000, 40
529000, 24
530000, 40
531000, 24
532000, 32
533000, 24
534000, 40
535000, 24
536000, 32
537000, 24
538000, 40
539000, 24
540000, 40
541000, 24
542000, 40
543000, 24
544000, 32
545000, 24
546000, 40
547000, 24
548000, 40
549000, 24
550000, 32
551000, 24
552000, 32
553000, 24
554000, 32
555000, 24
556000, 40
557000, 32
558000, 40
559000, 32
560000, 40
561000, 40
562000, 40
563000, 40
564000, 40
565000, 32
566000, 40
567000, 40
568000, 40
569000, 32
570000, 40
571000, 40
572000, 40
573000, 40
574000, 40
575000, 40
576000, 40
577000, 24
578000, 40
579000, 40
580000, 40
581000, 40
582000, 40
583000, 40
584000, 40
585000, 40
586000, 40
587000, 40
588000, 40
589000, 40
590000, 40
591000, 40
592000, 32
593000, 40
594000, 32
595000, 40
596000, 24
597000, 40
598000, 16
599000, 40
600000, 24
601000, 40
602000, 16
603000, 40
604000, 24
605000, 40
606000, 24
607000, 40
608000, 24
609000, 40
610000, 16
611000, 40
612000, 24
613000, 40
614000, 24
615000, 40
616000, 24
617000, 40
618000, 24
619000, 40
620000, 24
621000, 40
622000, 24
623000, 40
624000, 24
625000, 40
626000, 24
627000, 40
628000, 24
629000, 40
630000, 24
631000, 32
632000, 24
633000, 40
634000, 24
635000, 32
636000, 24
637000, 32
638000, 24
639000, 32
640000, 24
641000, 24
642000, 16
643000, 32
644000, 24
645000, 40
646000, 24
647000, 40
648000, 24
649000, 32
650000, 32
651000, 40
652000, 32
653000, 32
654000, 32
655000, 32
656000, 24
657000, 48
658000, 24
659000, 40
660000, 24
661000, 40
662000, 24
663000, 32
664000, 24
665000, 40
666000, 32
667000, 32
668000, 32
669000, 32
670000, 24
671000, 48
672000, 24
673000, 40
674000, 24
675000, 32
676000, 16
677000, 32
678000, 32
679000, 40
680000, 24
681000, 32
682000, 32
683000, 32
684000, 24
685000, 48
686000, 24
687000, 40
688000, 24
689000, 32
690000, 24
691000, 32
692000, 32
693000, 40
694000, 32
695000, 40
696000, 40
697000, 32
698000, 32
699000, 48
700000, 32
701000, 48
702000, 32
703000, 40
704000, 40
705000, 32
706000, 48
707000, 32
708000, 48
709000, 24
710000, 40
711000, 48
712000, 40
713000, 40
714000, 48
715000, 32
716000, 48
717000, 24
718000, 48
719000, 32
720000, 48
721000, 32
722000, 40
723000, 32
724000, 48
725000, 32
726000, 48
727000, 24
728000, 48
729000, 24
730000, 40
731000, 16
732000, 48
733000, 16
734000, 48
735000, 16
736000, 48
737000, 16
738000, 48
739000, 16
740000, 48
741000, 16
742000, 40
743000, 16
744000, 48
745000, 16
746000, 48
747000, 16
748000, 48
749000, 16
750000, 48
751000, 16
752000, 48
753000, 16
754000, 48
755000, 16
756000, 48
757000, 16
758000, 48
759000, 16
760000, 48
761000, 16
762000, 48
763000, 8
764000, 48
765000, 16
766000, 48
767000, 16
768000, 48
769000, 16
770000, 40
771000, 24
772000, 40
773000, 16
774000, 48
775000, 8
776000, 48
777000, 16
778000, 40
779000, 24
780000, 32
781000, 24
782000, 40
783000, 32
784000, 32
785000, 32
786000, 32
787000, 24
788000, 48
789000, 24
790000, 40
791000, 24
792000, 40
793000, 24
794000, 32
795000, 32
796000, 32
797000, 32
798000, 32
799000, 32
800000, 32
801000, 24
802000, 48
803000, 24
804000, 40
805000, 24
806000, 24
807000, 16
808000, 16
809000, 24
810000, 32
811000, 24
812000, 24
813000, 24
814000, 24
815000, 16
816000, 40
817000, 16
818000, 32
819000, 24
820000, 32
821000, 24
822000, 32
823000, 32
824000, 40
825000, 32
826000, 40
827000, 40
828000, 40
829000, 16
830000, 48
831000, 16
832000, 48
833000, 16
834000, 40
835000, 24
836000, 32
837000, 32
838000, 32
839000, 32
840000, 32
841000, 16
842000, 40
843000, 16
844000, 48
845000, 16
846000, 48
847000, 24
848000, 40
849000, 32
850000, 40
851000, 32
852000, 48
853000, 32
854000, 48
855000, 32
856000, 48
857000, 32
858000, 48
859000, 32
860000, 48
861000, 32
862000, 40
863000, 24
864000, 40
865000, 24
866000, 40
867000, 24
868000, 40
869000, 24
870000, 40
871000, 24
872000, 40
873000, 24
874000, 32
875000, 24
876000, 40
877000, 24
878000, 32
879000, 24
880000, 40
881000, 24
882000, 40
883000, 24
884000, 40
885000, 24
886000, 40
887000, 32
888000, 40
889000, 24
890000, 40
891000, 16
892000, 40
893000, 24
894000, 40
895000, 16
896000, 40
897000, 24
898000, 48
899000, 32
900000, 48
901000, 32
902000, 48
903000, 32
904000, 48
905000, 32
906000, 48
907000, 24
908000, 48
909000, 32
910000, 48
911000, 32
912000, 48
913000, 32
914000, 48
915000, 24
916000, 32
917000, 32
918000, 40
919000, 24
920000, 40
921000, 32
922000, 40
923000, 24
924000, 40
925000, 24
926000, 48
927000, 24
928000, 32
929000, 24
930000, 24
931000, 32
932000, 32
933000, 32
934000, 40
935000, 32
936000, 32
937000, 32
938000, 40
939000, 32
940000, 40
941000, 32
942000, 40
943000, 32
944000, 48
945000, 32
946000, 40
947000, 32
948000, 48
949000, 32
950000, 40
951000, 40
952000, 40
953000, 48
954000, 24
955000, 48
956000, 32
957000, 48
958000, 32
959000, 48
960000, 32
961000, 40
962000, 32
963000, 40
964000, 32
