router_id,buffer_push,buffer_pop,buffer_read_front,routing,crossbar
0,19136,19136,598,598,19136
1,96352,96352,3011,3011,96352
2,149440,149440,4670,4670,149440
3,202528,202528,6329,6329,202528
4,171936,171936,5373,5373,171936
5,141344,141344,4417,4417,141344
6,118816,118816,3713,3713,118816
7,100864,100864,3152,3152,100864
8,112512,112512,3516,3516,112512
9,102880,102880,3215,3215,102880
10,102912,102912,3216,3216,102912
11,112576,112576,3518,3518,112576
12,96192,96192,3006,3006,96192
13,72480,72480,2265,2265,72480
14,138400,138400,4325,4325,138400
15,261888,261888,8184,8184,261888
16,262016,262016,8188,8188,262016
17,262016,262016,8188,8188,262016
18,162976,162976,5093,5093,162976
19,113824,113824,3557,3557,113824
20,117440,117440,3670,3670,117440
21,108896,108896,3403,3403,108896
22,108896,108896,3403,3403,108896
23,117440,117440,3670,3670,117440
24,110496,110496,3453,3453,110496
25,159648,159648,4989,4989,159648
26,215744,215744,6742,6742,215744
27,150208,150208,4694,4694,150208
28,116832,116832,3651,3651,116832
29,67680,67680,2115,2115,67680
30,65248,65248,2039,2039,65248
31,89056,89056,2783,2783,89056
32,89056,89056,2783,2783,89056
33,96736,96736,3023,3023,96736
34,86912,86912,2716,2716,86912
35,136064,136064,4252,4252,136064
36,195040,195040,6095,6095,195040
37,195040,195040,6095,6095,195040
38,122272,122272,3821,3821,122272
39,33440,33440,1045,1045,33440
40,20640,20640,645,645,20640
41,12448,12448,389,389,12448
42,20640,20640,645,645,20640
43,24576,24576,768,768,24576
44,21184,21184,662,662,21184
45,87520,87520,2735,2735,87520
46,88800,88800,2775,2775,88800
47,116768,116768,3649,3649,116768
48,116768,116768,3649,3649,116768
49,116768,116768,3649,3649,116768
50,58080,58080,1815,1815,58080
51,23232,23232,726,726,23232
52,24576,24576,768,768,24576
53,20352,20352,636,636,20352
54,20352,20352,636,636,20352
55,16384,16384,512,512,16384
56,44928,44928,1404,1404,44928
57,69504,69504,2172,2172,69504
58,98304,98304,3072,3072,98304
59,108576,108576,3393,3393,108576
60,88992,88992,2781,2781,88992
61,64416,64416,2013,2013,64416
62,63232,63232,1976,1976,63232
63,59360,59360,1855,1855,59360
64,59360,59360,1855,1855,59360
65,63232,63232,1976,1976,63232
66,58912,58912,1841,1841,58912
67,83488,83488,2609,2609,83488
68,112384,112384,3512,3512,112384
69,79616,79616,2488,2488,79616
70,59424,59424,1857,1857,59424
71,34848,34848,1089,1089,34848
72,33216,33216,1038,1038,33216
73,44448,44448,1389,1389,44448
74,44448,44448,1389,1389,44448
75,48608,48608,1519,1519,48608
76,44224,44224,1382,1382,44224
77,68800,68800,2150,2150,68800
78,97760,97760,3055,3055,97760
79,97760,97760,3055,3055,97760
80,60512,60512,1891,1891,60512
81,16448,16448,514,514,16448
82,10272,10272,321,321,10272
83,6176,6176,193,193,6176
84,10272,10272,321,321,10272
85,12288,12288,384,384,12288
86,10272,10272,321,321,10272
87,42944,42944,1342,1342,42944
88,43936,43936,1373,1373,43936
89,58240,58240,1820,1820,58240
90,58240,58240,1820,1820,58240
91,58240,58240,1820,1820,58240
92,28800,28800,900,900,28800
93,11520,11520,360,360,11520
94,12288,12288,384,384,12288
95,10304,10304,322,322,10304
96,10304,10304,322,322,10304
97,8192,8192,256,256,8192
98,22400,22400,700,700,22400
99,34688,34688,1084,1084,34688
100,49152,49152,1536,1536,49152
101,54144,54144,1692,1692,54144
102,44672,44672,1396,1396,44672
103,32384,32384,1012,1012,32384
104,31712,31712,991,991,31712
105,29728,29728,929,929,29728
106,29728,29728,929,929,29728
107,31712,31712,991,991,31712
108,29728,29728,929,929,29728
109,42016,42016,1313,1313,42016
110,56288,56288,1759,1759,56288
111,39904,39904,1247,1247,39904
112,31328,31328,979,979,31328
113,19040,19040,595,595,19040
114,18016,18016,563,563,18016
115,16096,16096,503,503,16096
116,16096,16096,503,503,16096
117,25984,25984,812,812,25984
118,23936,23936,748,748,23936
119,36224,36224,1132,1132,36224
120,50560,50560,1580,1580,50560
121,50560,50560,1580,1580,50560
122,31808,31808,994,994,31808
123,11552,11552,361,361,11552
124,10336,10336,323,323,10336
125,6240,6240,195,195,6240
126,22624,22624,707,707,22624
127,32608,32608,1019,1019,32608
128,30624,30624,957,957,30624
129,42912,42912,1341,1341,42912
130,57184,57184,1787,1787,57184
131,65152,65152,2036,2036,65152
132,46176,46176,1443,1443,46176
133,25856,25856,808,808,25856
134,24576,24576,768,768,24576
135,22464,22464,702,702,22464
136,22464,22464,702,702,22464
137,24576,24576,768,768,24576
138,22528,22528,704,704,22528
139,18432,18432,576,576,18432
140,40960,40960,1280,1280,40960
141,48992,48992,1531,1531,48992
142,38112,38112,1191,1191,38112
143,23776,23776,743,743,23776
144,20416,20416,638,638,20416
145,19360,19360,605,605,19360
146,19360,19360,605,605,19360
147,20416,20416,638,638,20416
148,19456,19456,608,608,19456
149,25600,25600,800,800,25600
150,24576,24576,768,768,24576
151,24576,24576,768,768,24576
152,24576,24576,768,768,24576
153,16384,16384,512,512,16384
154,14368,14368,449,449,14368
155,9216,9216,288,288,9216
156,9600,9600,300,300,9600
157,8608,8608,269,269,8608
158,8608,8608,269,269,8608
159,9600,9600,300,300,9600
